Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Founded Date,Founded Date Precision,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,IPO Status,IPO Date,Acquisition Status,Number of Events,Number of Lead Investors,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,IPqwery - Total Patents,IPqwery - Total Trademarks,Investment Stage
Branded Online,https://www.crunchbase.com/organization/branded-online,"E-Commerce, Internet, Online Portals","Costa Mesa, California, United States","Branded Online is a dynamic technology company that delivers enterprise-class ecommerce, marketing, and logistics solutions to brands.","19,715",$1M to $10M,2009-01-01,year,"Commerce and Shopping, Internet Services",2,101-250,2,8332996,USD,8332996,3,Private,,,,,,2017-06-14,4332996,USD,4332996,Venture - Series Unknown,0,8,
Epica International,https://www.crunchbase.com/organization/epica-international,"Health Diagnostics, Medical Device, Robotics, Software","San Clemente, California, United States","Epica International designs, develops and distributes progressive robotic systems.","19,732",$10M to $50M,2013-01-01,year,"Hardware, Health Care, Science and Engineering, Software",2,51-100,10,28400000,USD,28400000,2,Private,,,,2,Early Stage Venture,2019-05-24,300000,USD,300000,Convertible Note,18,0,
nimble,https://www.crunchbase.com/organization/nimble-79ed,"Consumer, Consumer Electronics","Costa Mesa, California, United States","nimble is a  consumer tech brand committed to creating high-quality, eco-friendly tech products  ","19,737",Less than $1M,2018-01-01,year,"Consumer Electronics, Hardware",1,1-10,2,2500000,USD,2500000,3,Private,,,,2,,2018-11-15,1000000,USD,1000000,Debt Financing,0,4,
Bitium,https://www.crunchbase.com/organization/bitium,"Cloud Computing, Cyber Security, Identity Management, SaaS, Security, Software","Santa Monica, California, United States","Bitium is a SaaS-based software operating system providing app management, single sign-on and analytics for cloud-based apps.","19,788",,2012-03-05,day,"Information Technology, Internet Services, Privacy and Security, Software",2,11-50,4,14900000,USD,14900000,16,Private,,Was Acquired,2,3,M&A,2016-08-30,6000000,USD,6000000,Venture - Series Unknown,,,
Breathe Technologies,https://www.crunchbase.com/organization/breathe-technologies,"Health Care, Health Diagnostics, Therapeutics","Irvine, California, United States",Breathe Technologies provide healthcare providers and patients with respiratory therapies that optimize breathing and mobility.,"19,821",$1M to $10M,2005-01-01,year,Health Care,3,51-100,6,56360001,USD,56360001,6,Private,,Was Acquired,,2,M&A,2017-10-31,6250001,USD,6250001,Venture - Series Unknown,85,17,
Johnnie-O,https://www.crunchbase.com/organization/johnnie-o,"Fashion, Retail, Shopping","Santa Monica, California, United States",Johnnie-O is a retail business specializing in West Coast Prep style clothing.,"19,863",,2005-01-01,year,"Clothing and Apparel, Commerce and Shopping, Design",1,11-50,5,23480381,USD,23480381,,Private,,,,,,2019-01-18,4281000,USD,4281000,Venture - Series Unknown,0,18,
CloudSight Inc.,https://www.crunchbase.com/organization/cloudsight,"Artificial Intelligence, Image Recognition, Mobile Apps, Software, Visual Search","Los Angeles, California, United States",CloudSight's mission is to make AI see.,"19,903",,2012-01-01,year,"Apps, Artificial Intelligence, Data and Analytics, Internet Services, Mobile, Science and Engineering, Software",2,11-50,11,7545000,USD,7545000,5,Private,,,,,,2016-07-01,475000,USD,475000,Convertible Note,1,1,
CU Direct,https://www.crunchbase.com/organization/cu-direct,"Lending, Retail, Robotics","Ontario, California, United States","CU Direct helps credit unions, dealers and affinity groups succeed.","19,937",$50M to $100M,1994-01-01,year,"Commerce and Shopping, Financial Services, Hardware, Science and Engineering, Software",,251-500,1,1035000,USD,1035000,,Private,,,,,,2018-08-17,1035000,USD,1035000,Venture - Series Unknown,0,13,
"Fox Rent A Car, Inc.",https://www.crunchbase.com/organization/fox-rent-a-car-inc,"Car Sharing, Rental","Los Angeles, California, United States",Fox Rent A Car is a value-based car rental brand catering to airport travelers.,"19,942",$100M to $500M,1989-01-01,year,"Commerce and Shopping, Transportation",2,501-1000,1,25000000,USD,25000000,2,Private,,Made Acquisitions,,1,,2017-07-21,25000000,USD,25000000,Venture - Series Unknown,0,2,
Lantronix,https://www.crunchbase.com/organization/lantronix,"Hardware, Internet of Things, IT Infrastructure, Network Security, Software","Irvine, California, United States",Lantronix is a global provider of smart IoT (Internet of Things) solutions.,"19,960",$10M to $50M,1989-01-01,year,"Hardware, Information Technology, Internet Services, Privacy and Security, Software",1,101-250,2,6500000,USD,6500000,,Public,2000-08-11,Made Acquisitions,13,,IPO,2016-06-20,2000000,USD,2000000,Venture - Series Unknown,41,51,
CurbStand,https://www.crunchbase.com/organization/curbstand,"Automotive, FinTech, Mobile, Mobile Payments, Parking, Public Transportation, Transportation, Travel","West Hollywood, California, United States","Seamless, cashless valet parking in Los Angeles. Pay & tip right from your phone.","19,963",,2013-01-01,year,"Financial Services, Mobile, Payments, Software, Transportation, Travel and Tourism",4,11-50,5,5100000,USD,5100000,1,Private,,Made Acquisitions,,,Seed,2015-12-25,600000,USD,600000,Seed,0,2,
MFour Mobile Research,https://www.crunchbase.com/organization/mfour,"Consumer Applications, Market Research, Mobile Apps, Personal Branding, Product Research","Irvine, California, United States",MFour Mobile Research is a developer of mobile survey and research software,"19,964",$1M to $10M,2001-01-01,year,"Apps, Data and Analytics, Design, Mobile, Sales and Marketing, Software",2,51-100,1,5000000,USD,5000000,2,Private,,,1,1,Early Stage Venture,2017-04-11,5000000,USD,5000000,Series B,0,8,
DNA Genetics,https://www.crunchbase.com/organization/dna-genetics,"Brand Marketing, Cannabis","Los Angeles, California, United States",DNA Genetics a globally recognized leading cannabis brand.,"19,994",,2004-01-01,year,"Community and Lifestyle, Food and Beverage, Health Care, Sales and Marketing",2,,1,35000000,USD,35000000,1,Private,,,,1,,2018-12-03,35000000,USD,35000000,Corporate Round,0,97,
Eton Pharmaceuticals,https://www.crunchbase.com/organization/eton-pharmaceuticals,"Biopharma, Biotechnology, Health Care, Pharmaceutical","Studio City, California, United States",Eton Is focused on the development and commercialization of innovative sterile injectable product candidates utilizing.,"20,020",$500M to $1B,2017-01-01,year,"Biotechnology, Health Care, Science and Engineering",1,,1,20000000,USD,20000000,,Public,2018-11-12,,,,IPO,2017-06-20,20000000,USD,20000000,Series A,,,
F/ELD,https://www.crunchbase.com/organization/f-eld,Cannabis,"Los Angeles, California, United States","F/ELD is a cannabis brand focused on the ""ultra premium"" portion of the cannabis market.","20,046",,2015-01-01,year,"Community and Lifestyle, Food and Beverage, Health Care",1,,1,6000000,USD,6000000,2,Private,,Was Acquired,,1,M&A,2018-09-20,6000000,USD,6000000,Venture - Series Unknown,,,
Lantern Credit,https://www.crunchbase.com/organization/neft,"Credit, Financial Services, FinTech","Newport Beach, California, United States","Lantern Credit, LLC is a financial technology company working to solve systemic inefficiencies in the consumer credit market.","20,094",$1M to $10M,2013-01-01,year,"Financial Services, Lending and Investments",2,11-50,1,42000000,USD,42000000,1,Private,,,2,1,Early Stage Venture,2015-09-10,42000000,USD,42000000,Series A,1,0,
17hats,https://www.crunchbase.com/organization/17hats,"Internet, Internet of Things, Project Management, Software","Los Angeles, California, United States","17hats is the complete system that helps automate, organize, and optimize small business management for freelancers and entrepreneurs.","20,152",,2014-01-01,year,"Internet Services, Software",2,11-50,4,5250000,USD,5250000,3,Private,,,1,1,Early Stage Venture,2017-08-08,,,,Series A,0,1,
Curri,https://www.crunchbase.com/organization/curri,"Building Material, Construction, Delivery Service","Ventura, California, United States",Curri delivers construction supplies and materials.,"20,236",,2018-01-01,year,"Real Estate, Transportation",1,1-10,1,150000,USD,150000,1,Private,,,,1,Seed,2019-08-19,150000,USD,150000,Seed,0,2,
W4,https://www.crunchbase.com/organization/w4,"Advertising, Brand Marketing, Lead Generation, Sports","Santa Monica, California, United States",W4 provides business process management solutions through an expansive network of publishers.,"20,244",,2009-01-01,year,"Advertising, Sales and Marketing, Sports",4,11-50,1,10000000,USD,10000000,1,Private,,Was Acquired,1,1,M&A,2011-06-20,10000000,USD,10000000,Debt Financing,,,
VYRL,https://www.crunchbase.com/organization/vyrl,"Big Data, Digital Marketing, E-Commerce, Marketing Automation, Social Media Marketing","Irvine, California, United States",VYRL is building the biggest E-commerce Network in the world.,"20,250",,2015-10-15,day,"Commerce and Shopping, Data and Analytics, Sales and Marketing, Software",2,11-50,3,3065000,USD,3065000,7,Private,,,,2,Early Stage Venture,2019-06-01,,,,Series A,0,9,
FameBit,https://www.crunchbase.com/organization/famebit,"Advertising, Marketing, Social Network","Santa Monica, California, United States",Fame Bit is a YouTube marketing platform where brands collaborate with YouTube influencers and create videos.,"20,267",,2013-01-01,year,"Advertising, Internet Services, Sales and Marketing",2,11-50,2,1500000,USD,1500000,6,Private,,"Made Acquisitions, Was Acquired",7,,M&A,2014-06-20,1500000,USD,1500000,Seed,,,
The Hollywood Reporter,https://www.crunchbase.com/organization/the-hollywood-reporter,"Celebrity, Events, Film, Law Enforcement, Music, News, Photography, Video","Los Angeles, California, United States","The Hollywood Reporter is an online platform, providing entertainment news, reviews, videos, and analysis for its users.","20,300",,1930-09-03,day,"Content and Publishing, Events, Government and Military, Media and Entertainment, Music and Audio, Privacy and Security, Video",,251-500,,,,,,Private,,Made Acquisitions,,,,,,,,,,,
Snipfeed,https://www.crunchbase.com/organization/jenyai,"Media and Entertainment, Mobile","Los Angeles, California, United States",ALL YOUR FAVORITE CONTENT IN ONE PLACE,"20,309",,2018-01-01,day,"Media and Entertainment, Mobile",3,1-10,3,700000,USD,700000,8,Private,,,,,Seed,2019-07-01,300000,USD,300000,Pre-Seed,,,
CUDDLY Inc.,https://www.crunchbase.com/organization/poundwishes-inc-,"Crowdfunding, Information Technology, Pet","Seal Beach, California, United States",CUDDLY is a fundraising platform serving animal rescue and shelter partners worldwide.,"20,318",,2014-01-01,day,"Community and Lifestyle, Financial Services, Information Technology",2,1-10,7,2530000,USD,2530000,3,Private,,,,2,Seed,2018-12-01,1080000,USD,1080000,Seed,0,7,
DataHero,https://www.crunchbase.com/organization/datahero,"Analytics, Big Data, Business Intelligence, Data Visualization, Software","Santa Monica, California, United States",DataHero is a leading cloud business intelligence software platform that specializes in data visualization and data dashboards.,"20,324",,2011-10-01,day,"Data and Analytics, Design, Information Technology, Software",1,1-10,5,10250000,USD,10250000,9,Private,,Was Acquired,,1,M&A,2015-06-15,,,,Secondary Market,,,
Biolase,https://www.crunchbase.com/organization/biolase,"3D Printing, Biotechnology, Health Care, Medical Device","Irvine, California, United States",Biolase develops lasers and related products for providing biological treatments that reduce pain.,"20,325",$1M to $10M,1987-01-01,year,"Biotechnology, Health Care, Manufacturing, Science and Engineering",,251-500,6,77024004,USD,77024004,4,Public,2003-06-10,,,1,IPO,2018-03-08,6000000,USD,6000000,Post-IPO Debt,122,59,
LaunchRock,https://www.crunchbase.com/organization/launchrock,"Enterprise Software, SaaS, Social Media","Walnut, California, United States","LaunchRock is an online platform that enables its users to create viral ""Launching Soon"" pages with built in sharing tools and analytics.","20,348",,2011-01-28,day,"Internet Services, Media and Entertainment, Software",4,51-100,1,800000,USD,800000,8,Private,,"Made Acquisitions, Was Acquired",1,,M&A,2011-11-08,800000,USD,800000,Seed,,,
Boon,https://www.crunchbase.com/organization/boon-2,"College Recruiting, Human Resources, Recruiting, Social Media, Social Recruiting","Los Angeles, California, United States",Game-changing referral engagement network,"20,364",$1M to $10M,2016-01-01,year,"Administrative Services, Education, Internet Services, Media and Entertainment, Professional Services",3,1-10,9,670304,USD,670304,4,Private,,,4,,Seed,2018-08-01,,,,Non-equity Assistance,0,2,
Cinq Music,https://www.crunchbase.com/organization/cinq-music,"Music, Music Label, Music Streaming","Santa Monica, California, United States",Cinq is a record label and music distribution company that provides rights management and brand management services.,"20,373",$1M to $10M,2012-01-01,year,"Internet Services, Media and Entertainment, Music and Audio",1,11-50,3,60000000,USD,60000000,1,Private,,,,1,Late Stage Venture,2019-08-13,40000000,USD,40000000,Series C,0,1,
Chill,https://www.crunchbase.com/organization/chill,"E-Commerce, Social Network, Video","Los Angeles, California, United States",Chill is social video discovery platform.,"20,393",,2010-01-01,year,"Commerce and Shopping, Internet Services, Media and Entertainment, Video",2,1-10,2,9500000,USD,9500000,5,Private,,,,,Early Stage Venture,2012-06-27,8000000,USD,8000000,Series A,0,12,
Liquidata,https://www.crunchbase.com/organization/liquidata,"Big Data, Database, Information Technology, Internet, Software","Santa Monica, California, United States","Liquidata is a software company that builds an open source database called Dolt, a SQL database with native Git versioning.","20,406",,2018-04-13,day,"Data and Analytics, Information Technology, Internet Services, Software",3,11-50,1,2000000,USD,2000000,1,Private,,,,1,Seed,2019-01-16,2000000,USD,2000000,Seed,,,
friendbuy,https://www.crunchbase.com/organization/friendbuy,"Digital Marketing, E-Commerce, Enterprise Software, Retail Technology, SaaS","Los Angeles, California, United States",Powering referral marketing for the hottest companies in e-commerce.,"20,418",,2010-01-01,year,"Commerce and Shopping, Hardware, Sales and Marketing, Software",1,11-50,2,1800000,USD,1800000,5,Private,,,,,Seed,2018-02-16,500000,USD,500000,Debt Financing,0,1,
