Organization/Person Name,Organization/Person Name URL,Location,Industries,CB Rank (Company),Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,IPO Status,IPO Date,Acquisition Status,Number of Events,Number of Lead Investors,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,IPqwery - Patents,IPqwery - Trademarks
Liquidata,https://www.crunchbase.com/organization/liquidata,"Santa Monica, California, United States","Big Data, Database, Information Technology, Internet, Software","20,838","Liquidata is a software company that builds an open source database called Dolt, a SQL database with native Git versioning.",,2018-04-13,day,"Data and Analytics, Information Technology, Internet Services, Software",3,11-50,1,2000000,USD,2000000,1,Private,,,,1,Seed,2019-01-16,2000000,USD,2000000,Seed,,
Float,https://www.crunchbase.com/organization/float-4,"Los Angeles, California, United States","Credit, Financial Services, Machine Learning","20,962",Float is a mobile-first credit experience that offers small dollar credit lines built on bank and alternative data.,,2015-01-01,year,"Artificial Intelligence, Data and Analytics, Financial Services, Lending and Investments, Software",3,1-10,3,2500000,USD,2500000,5,Private,,,1,2,Seed,2016-02-09,1500000,USD,1500000,Seed,0,4
LaunchRock,https://www.crunchbase.com/organization/launchrock,"Walnut, California, United States","Enterprise Software, SaaS, Social Media","20,993","LaunchRock is an online platform that enables its users to create viral ""Launching Soon"" pages with built in sharing tools and analytics.",,2011-01-28,day,"Internet Services, Media and Entertainment, Software",4,51-100,1,800000,USD,800000,8,Private,,"Made Acquisitions, Was Acquired",1,,M&A,2011-11-08,800000,USD,800000,Seed,,
ReShape Lifesciences,https://www.crunchbase.com/organization/reshape-medical,"San Clemente, California, United States","Health Care, Medical Device","21,004",ReShape Lifesciencesis a developer of minimally invasive medical devices to treat obesity and metabolic diseases.,$1M to $10M,2005-01-01,year,Health Care,1,51-100,11,110750000,USD,110750000,8,Public,2007-11-16,Was Acquired,,4,M&A,2018-07-11,3000000,USD,3000000,Post-IPO Equity,48,3
Purple Squirrel,https://www.crunchbase.com/organization/purple-squirrel-2,"Los Angeles, California, United States","Employment, Human Resources, Internet, Recruiting","21,049",Purple Squirrel gives job seekers access to employees at the best companies in the world so that they can make friends in high places,,2015-01-01,year,"Internet Services, Professional Services",1,1-10,1,2700000,USD,2700000,6,Private,,,,1,Seed,2017-03-21,2700000,USD,2700000,Seed,0,1
CloudSight Inc.,https://www.crunchbase.com/organization/cloudsight,"Los Angeles, California, United States","Artificial Intelligence, Image Recognition, Mobile Apps, Software, Visual Search","21,065",CloudSight's mission is to make AI see.,,2012-01-01,year,"Apps, Artificial Intelligence, Data and Analytics, Internet Services, Mobile, Science and Engineering, Software",2,11-50,11,7545000,USD,7545000,5,Private,,,,,,2016-07-01,475000,USD,475000,Convertible Note,1,1
CESPPA,https://www.crunchbase.com/organization/cesppa,"Playa Vista, California, United States","Cyber Security, Information Technology, Internet, Security","21,068",Application Security Platform,,2018-06-01,month,"Information Technology, Internet Services, Privacy and Security",2,1-10,1,1500000,USD,1500000,1,Private,,,,1,Seed,2018-07-19,1500000,USD,1500000,Seed,0,1
eatOS by POSLABS,https://www.crunchbase.com/organization/poslabs-inc,"West Hollywood, California, United States","Big Data, Information Technology, Mobile Apps, Point of Sale, Restaurants","21,076",World's first all-in-one restaurant management platform.,,2016-01-01,year,"Apps, Commerce and Shopping, Data and Analytics, Food and Beverage, Information Technology, Mobile, Software",2,11-50,5,1670000,USD,1670000,3,Private,,,1,2,Seed,2019-11-19,1000000,USD,1000000,Seed,,
InviteManager,https://www.crunchbase.com/organization/spotlight-ticket-management,"Calabasas, California, United States","Computer, SaaS, Software","21,094","InviteManager connects customers with their passions through a mobile, desktop, and CRM application automating customer entertainment.",,2007-08-21,day,"Consumer Electronics, Hardware, Software",3,51-100,3,20000000,USD,20000000,4,Private,,,2,2,Early Stage Venture,2015-11-05,14500000,USD,14500000,Series B,0,1
Manufactured,https://www.crunchbase.com/organization/manufactured,"Los Angeles, California, United States","Consumer Goods, Internet, Manufacturing, SaaS, Software, Supply Chain Management","21,103",vertical SaaS for contract manufacturing,,2017-11-01,month,"Consumer Goods, Internet Services, Manufacturing, Software, Transportation",1,1-10,4,2680000,USD,2680000,15,Private,,,,2,Seed,2019-02-20,130000,USD,130000,Seed,,
FameBit,https://www.crunchbase.com/organization/famebit,"Santa Monica, California, United States","Advertising, Marketing, Social Network","21,133",Fame Bit is a YouTube marketing platform where brands collaborate with YouTube influencers and create videos.,,2013-01-01,year,"Advertising, Internet Services, Sales and Marketing",2,11-50,2,1500000,USD,1500000,6,Private,,"Made Acquisitions, Was Acquired",7,,M&A,2014-06-20,1500000,USD,1500000,Seed,,
Tea Drops,https://www.crunchbase.com/organization/tea-drops,"Los Angeles, California, United States","Food and Beverage, Tea","21,134","Tea Drops is a Los Angeles based, woman & minority owned organic tea company, making innovative, bagless, dissolvable teas.",$1M to $10M,2014-01-01,year,Food and Beverage,1,1-10,2,1900000,USD,1900000,3,Private,,,,1,,2019-12-04,,,,Venture - Series Unknown,0,3
Menlo Micro,https://www.crunchbase.com/organization/menlo-micro,"Irvine, California, United States","Electronics, Semiconductor","21,153",MENLO MICRO HAS DEVELOPED THE MOST IMPORTANT TECHNOLOGICAL INNOVATION IN ELECTRONICS SINCE THE TRANSISTOR....THE IDEAL SWITCH,$1M to $10M,2016-12-02,day,"Consumer Electronics, Hardware, Science and Engineering",2,11-50,1,18700000,USD,18700000,4,Private,,,2,,,2016-12-06,18700000,USD,18700000,Venture - Series Unknown,,
Onestop Internet,https://www.crunchbase.com/organization/onestop,"El Segundo, California, United States","E-Commerce, Fashion, Internet, Retail Technology","21,191",Onestop Internet is a full-spectrum eCommerce partner backed by blue-chip investors Bessemer Ventures and Fung Capital USA (Li & Fung.),$1M to $10M,2003-01-01,year,"Clothing and Apparel, Commerce and Shopping, Design, Hardware, Internet Services, Software",3,501-1000,2,22450000,USD,22450000,2,Private,,,,2,Early Stage Venture,2011-11-29,9150000,USD,9150000,Series B,0,1
University of Southern California,https://www.crunchbase.com/organization/university-of-southern-california,"Los Angeles, California, United States","Association, Education, Non Profit, Training, Universities","21,228","The University of Southern California (USC) is a private research university in Los Angeles, California founded in 1880.",Less than $1M,1880-01-01,year,Education,,10001+,,,,,,Private,,,6,,,,,,,,"1,193",89
"Titan Health & Security Technologies, ""Titan HST""",https://www.crunchbase.com/organization/titan-health-security-technologies,"Newport Beach, California, United States","Enterprise Software, Information Technology, Law Enforcement, Messaging, mHealth, Mobile, Public Safety","21,251","Comprehensive emergency communications network & mass notification system serving businesses, schools and governments.",Less than $1M,2012-02-10,day,"Government and Military, Health Care, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Privacy and Security, Software",1,11-50,2,3766000,USD,3766000,,Private,,,,,,2018-10-10,1566000,USD,1566000,Venture - Series Unknown,14,4
ParkMe,https://www.crunchbase.com/organization/parking-in-motion,"Santa Monica, California, United States","Analytics, Android, Big Data, iOS, Mobile, Mobile Payments, Parking","21,282","ParkMe provides parking information to app developers, map makers, and GPS navigation companies.",,2009-01-01,year,"Data and Analytics, Financial Services, Mobile, Payments, Platforms, Software, Transportation",2,11-50,2,8297000,USD,8297000,3,Private,,Was Acquired,,2,M&A,2012-10-31,7400000,USD,7400000,Series A,,
eTribez,https://www.crunchbase.com/organization/etribez,"Los Angeles, California, United States","Broadcasting, Digital Entertainment, Film Production, Productivity Tools, SaaS","21,318","eTribez is the world leader Casting and Production Management platform, working with the leading shows in the world.",$1M to $10M,2012-01-01,year,"Media and Entertainment, Software, Video",3,11-50,3,10000000,USD,10000000,3,Private,,,,1,Early Stage Venture,2019-01-04,3500000,USD,3500000,Series B,,
INLT,https://www.crunchbase.com/organization/inlt,"Los Angeles, California, United States","Enterprise Applications, Freight Service, Logistics, SaaS, Shipping, Transportation","21,326",B2B SaaS logistics management and US customs brokerage for importers and SBM freight forwarders. ,,2017-01-01,year,"Apps, Software, Transportation",4,11-50,1,1000000,USD,1000000,6,Private,,Was Acquired,,2,M&A,2018-04-03,1000000,USD,1000000,Seed,,
Beanfields,https://www.crunchbase.com/organization/beanfields,"Los Angeles, California, United States","Food and Beverage, Food Processing, Health Care","21,329",Beanfields's mission is to make the world a healthier place to crunch.,,2010-01-01,year,"Food and Beverage, Health Care",1,11-50,3,7000000,USD,7000000,3,Private,,Was Acquired,1,1,M&A,2019-02-28,,,,Series B,0,1
Bottlenose,https://www.crunchbase.com/organization/bottlenose,"Sherman Oaks, California, United States","Analytics, Artificial Intelligence, Big Data, Business Intelligence, Enterprise Software, Real Time","21,368",Bottlenose is a cognitive computing company that makes data analysis easy so businesses can benefit from key insights in real time.,$1M to $10M,2010-12-01,day,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",2,11-50,10,24299999,USD,24299999,21,Private,,,3,2,,2016-01-07,4099999,USD,4099999,Venture - Series Unknown,6,7
Adway,https://www.crunchbase.com/organization/adway-1814,"Los Angeles, California, United States","Advertising, Advertising Platforms, Marketing, Ride Sharing","21,370",Adway is the only mobility based advertising and data platform that uses projection to turn any car-body into a media display.,,2018-07-01,month,"Advertising, Sales and Marketing, Transportation",2,1-10,2,3000000,USD,3000000,2,Private,,,,,Seed,2019-07-27,3000000,USD,3000000,Seed,1,1
Akana,https://www.crunchbase.com/organization/soa-software,"Los Angeles, California, United States","Cloud Data Services, Cloud Security, Developer APIs, Software","21,382",Akana provides a comprehensive suite of API management/security.,,2001-01-01,year,"Information Technology, Internet Services, Privacy and Security, Software",1,51-100,3,21000000,USD,21000000,7,Private,,"Made Acquisitions, Was Acquired",9,1,M&A,2014-03-28,10000000,USD,10000000,Undisclosed,35,0
MassGenie,https://www.crunchbase.com/organization/massgenie,"Irvine, California, United States","Artificial Intelligence, Communities, Crowdsourcing, E-Commerce, Group Buying, Machine Learning, Marketplace, SaaS, Social Shopping","21,413",SaaS & AI ecommerce solutions for brands and retailers,$1M to $10M,2016-04-01,day,"Artificial Intelligence, Commerce and Shopping, Community and Lifestyle, Data and Analytics, Science and Engineering, Software",3,51-100,4,4700000,USD,4700000,3,Private,,,,2,,2019-01-04,1000000,USD,1000000,Venture - Series Unknown,2,1
BLAZE™,https://www.crunchbase.com/organization/blaze-me,"Newport Beach, California, United States","Computer, Electronics, Retail, Software","21,436",BLAZE™ is an enterprise resource planning platform for the legal cannabis industry,,2016-01-01,year,"Commerce and Shopping, Consumer Electronics, Hardware, Software",1,11-50,1,1500000,USD,1500000,1,Private,,,,1,Seed,2019-07-25,1500000,USD,1500000,Seed,,
Zevia,https://www.crunchbase.com/organization/zevia,"Culver City, California, United States","Food and Beverage, Grocery, Retail","21,480","Zevia LLC produces zero-calorie diet sodas. It offers sodas in various flavors, such as black cherry, caffeine free cola, cherry cola.",$10M to $50M,2007-01-01,year,"Commerce and Shopping, Food and Beverage",1,11-50,3,24010000,USD,24010000,,Private,,,,,,2015-03-23,11780000,USD,11780000,Venture - Series Unknown,0,9
OpenHouse,https://www.crunchbase.com/organization/openhouse-inc,"Santa Monica, California, United States","Big Data, Real Estate","21,487","OpenHouse is a better way to find your dream home, and a smarter way to connect you with the agent that can make it yours.",,2010-01-01,year,"Data and Analytics, Real Estate",3,11-50,1,13500000,USD,13500000,2,Private,,"Made Acquisitions, Was Acquired",1,1,M&A,2015-11-19,13500000,USD,13500000,Series A,,
Sanguine,https://www.crunchbase.com/organization/sanguine-biosciences,"Sherman Oaks, California, United States","Biotechnology, Clinical Trials, Health Care","21,493","We are the missing link in clinical trials, connecting patients & researchers seamlessly using mobile health to advance research from home.",$1M to $10M,2010-01-01,year,"Biotechnology, Health Care, Science and Engineering",5,11-50,4,6000000,USD,6000000,7,Private,,,,1,,2018-03-18,,,,Venture - Series Unknown,0,2
iGlass Technology,https://www.crunchbase.com/organization/wisp-2,"Irvine, California, United States","Energy Efficiency, Green Building, Smart Building, Smart Home, Windows","21,503",iGlass Technology has created “digital blinds” -  durable film with digitally tunable light transmittance - retrofit Smart Windows.,Less than $1M,2014-01-01,year,"Consumer Electronics, Energy, Platforms, Real Estate, Sustainability",2,11-50,8,6000000,USD,6000000,2,Private,,,,1,Seed,2017-12-20,200000,USD,200000,Seed,7,4
Nkmax,https://www.crunchbase.com/organization/nkmax,"Santa Ana, California, United States","Biotechnology, Life Science","21,507",Nkmax is restoring immune function through the development of unique natural killer (NK) cell therapies.,,2017-01-01,year,"Biotechnology, Science and Engineering",,11-50,1,11000000,USD,11000000,,Private,,,,,Seed,2019-12-17,11000000,USD,11000000,Seed,,
